Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Ombud,038213-91A,ICA Brukskanonen,Dannemoravägen 3,,748 31,ÖSTERBYBRUK,Uppsala län,0295- 200 59,,,UPPLAND;ÖSTHAMMAR,,6677142,1615639
Ombud,038228-90A,ICA Knuten,Lindgården,,740 12,KNUTBY,Uppsala län,0174-402 43,,,UPPLAND;UPPSALA,,6645996,1637674
Ombud,042801-90A,Coop Nära Högsjö,Hästhagsvägen 1,,640 10,HÖGSJÖ,Södermanlands län,010-741 45 80,,,Södermanland;Vingåker;Sörmland,,6545153,1492223
Ombud,046105-91A,ICA Nära Strandhallen,Dagavägen 13,,646 51,STJÄRNHOV,Södermanlands län,0158-400 82,,,SÖDERMANLAND;SÖRMLAND;GNESTA,,6551471,1569195
Ombud,048005-91B,Coop Nära Nävekvarn,Nyköpingsvägen 9,,611 76,NÄVEKVARN,Södermanlands län,010-741 48 50,,,SÖRMLAND;SÖDERMANLAND;NYKÖPING,,6501347.629,1557781.292
Ombud,048007-91D,Handlarn Jönåker,Stationsvägen 12,,611 70,JÖNÅKER,Uppsala län,0155-700 04,,,Södermanland;Nyköping,,6514026,1553182
Ombud,048010-90B,Handlarn Vrena,Tärnövägen 4,,611 73,VRENA,Södermanlands län,0155-910 12,,,Södermanland,,6526971.854,1551705.997
Ombud,048020-90A,Coop Nära Tystberga,Stationsvägen 12,,611 74,TYSTBERGA,Södermanlands län,010-741 48 40,,,SÖDERMANLAND;SÖRMLAND;NYKÖPING,,6526011,1582719
Ombud,048207-91A,Coop Konsum,Celsings Allé 13,,648 31,HÄLLEFORSNÄS,Södermanlands län,010-7414570,,,SÖDERMANLAND;SÖRMLAND;FLEN,,6559236,1539566
Ombud,048302-90C,Matöppet Björkvik,Vedebyvägen 5,,640 20,BJÖRKVIK,Södermanlands län,0155-710 90,,,Södermanland;Katrineholm,,6524327,1540988
Ombud,048308-90C,Ica Julitahallen,Doktorsvägen 1,,643 60,JULITA,Södermanlands län,0150 4895905,,,,,6558709.018,1515061.387
Ombud,048415-91B,Ica Nära Stora Sundby,Bergalid,,640 40,STORA SUNDBY,Södermanlands län,016-621 57,,,Sörmland:Eskilstuna,,6573102.113,1517879.177
Ombud,048420-90A,Coop Nära Ärla,Stationsvägen 10,,640 43,ÄRLA,Södermanlands län,010-741 45 60,,,SÖDERMANLAND;SÖRMLAND;ESKILSTUNA,,6573842,1549627
Ombud,051302-90C,Ulrika Butik och Café ek. förening,Gammalkilsvägen 9,,590 53,ULRIKA,Östergötlands län,0142-911 90,,,ÖSTERGÖTLAND;LINKÖPING,,6444725,1478101
Ombud,051304-90C,ICA Nära Vahlströms,Kisamorsväg 2,,590 42,HORN,Östergötlands län,0494-300 08,,,KINDA;ÖSTERGÖTLAND,,6419920,1501766
Ombud,051305-90A,Hycklinge Bensin & Service AB,Hycklingevägen 8,,590 42,HORN,Östergötlands län,0494-311 06,,,KINDA;ÖSTERGÖTLAND,,6422163,1506813
